instance_id,n_points,instance_seed,algorithm,run_idx,run_seed,repeats_planned,distance_initial,distance_final,runtime_total_s,runtime_setup_s,runtime_solve_s,device,episodes,alpha,gamma,epsilon_init,n_chains,improvement_pct,gap_to_best_pct
n20_i3,20,20045,classic_gpu,4,30049,20,4367.1806640625,4135.259582519531,0.010187199979554862,4.150002496317029e-05,0.010145699954591691,gpu,,,,,,5.310544705682679,0.3145129280462008
n20_i3,20,20045,classic_gpu,5,30050,20,4135.25927734375,4135.25927734375,0.008800100011285394,3.2400013878941536e-05,0.008767699997406453,gpu,,,,,,0.0,0.3145055249898164
n20_i3,20,20045,classic_gpu,6,30051,20,4465.4130859375,4465.4130859375,0.009479700005613267,3.070000093430281e-05,0.009449000004678965,gpu,,,,,,0.0,8.32348726834208
n20_i3,20,20045,classic_gpu,7,30052,20,5296.4150390625,4249.352722167969,0.013656200026161969,3.960001049563289e-05,0.013616600015666336,gpu,,,,,,19.7692648550418,3.0822225491411923
n20_i3,20,20045,classic_gpu,8,30053,20,4449.6826171875,4135.259216308594,0.011272199975792319,3.880000440403819e-05,0.01123339997138828,gpu,,,,,,7.06619837703488,0.31450404437853946
n20_i3,20,20045,classic_gpu,9,30054,20,5371.78125,4154.3560791015625,0.012170200003311038,3.789999755099416e-05,0.012132300005760044,gpu,,,,,,22.66334227400711,0.7777621425226939
n20_i3,20,20045,classic_gpu,10,30055,20,4839.931640625,4154.356140136719,0.011494399979710579,3.850000211969018e-05,0.011455899977590889,gpu,,,,,,14.164983131864032,0.7777636231339707
n20_i3,20,20045,classic_gpu,11,30056,20,4696.4560546875,4130.677734375,0.012552900006994605,3.559998003765941e-05,0.012517300026956946,gpu,,,,,,12.04692035280093,0.20336492010206977
n20_i3,20,20045,classic_gpu,12,30057,20,4473.18115234375,4465.4134521484375,0.010215899965260178,5.490001058205962e-05,0.010160999954678118,gpu,,,,,,0.17365047224261346,8.32349615200974
n20_i3,20,20045,classic_gpu,13,30058,20,5374.92236328125,4154.35595703125,0.01134460000321269,3.6299985367804766e-05,0.011308300017844886,gpu,,,,,,22.708540212381337,0.7777591813001402
n20_i3,20,20045,classic_gpu,14,30059,20,4868.76318359375,4241.0560302734375,0.01211949996650219,3.9300008211284876e-05,0.012080199958290905,gpu,,,,,,12.892538200163331,2.8809586164410157
n20_i3,20,20045,classic_gpu,15,30060,20,4632.46484375,4130.677978515625,0.013391000044066459,3.630004357546568e-05,0.013354700000490993,gpu,,,,,,10.83196272738848,0.20337084254717733
n20_i3,20,20045,classic_gpu,16,30061,20,4208.392578125,4135.259521484375,0.010508599982131273,5.630002124235034e-05,0.010452299960888922,gpu,,,,,,1.7377907427355215,0.3145114474349239
n20_i3,20,20045,classic_gpu,17,30062,20,4594.599609375,4473.1806640625,0.01214759994763881,4.329998046159744e-05,0.012104299967177212,gpu,,,,,,2.6426447489516183,8.51191578188298
n20_i3,20,20045,classic_gpu,18,30063,20,4812.1357421875,4241.0557861328125,0.011485699971672148,4.75000124424696e-05,0.011438199959229678,gpu,,,,,,11.867494739354258,2.880952693995908
n20_i3,20,20045,classic_gpu,19,30064,20,4421.2548828125,4154.355712890625,0.010645699978340417,3.5999983083456755e-05,0.01060969999525696,gpu,,,,,,6.036728869883476,0.7777532588550327
n20_i3,20,20045,ml_cpu,0,40045,5,,4491.072265625,0.11946879996685311,0.0,0.11946879996685311,cpu,1200.0,0.1,0.9,0.25,,,8.945936249142578
n20_i3,20,20045,ml_cpu,1,40046,5,,4501.42724609375,0.11549890000605956,0.0,0.11549890000605956,cpu,1200.0,0.1,0.9,0.25,,,9.19713083593299
n20_i3,20,20045,ml_cpu,2,40047,5,,4620.4697265625,0.11952070001279935,0.0,0.11952070001279935,cpu,1200.0,0.1,0.9,0.25,,,12.08490322547021
n20_i3,20,20045,ml_cpu,3,40048,5,,4886.0185546875,0.11640470003476366,0.0,0.11640470003476366,cpu,1200.0,0.1,0.9,0.25,,,18.526675699579943
n20_i3,20,20045,ml_cpu,4,40049,5,,4947.1640625,0.11507500003790483,0.0,0.11507500003790483,cpu,1200.0,0.1,0.9,0.25,,,20.009963921648893
n20_i3,20,20045,ml_gpu,0,50045,5,,5831.7861328125,0.8194130000192672,4.350004019215703e-05,0.819369499979075,gpu,30.0,0.12,0.92,0.35,512.0,,41.469422593583225
n20_i3,20,20045,ml_gpu,1,50046,5,,5784.41015625,0.9046889000455849,6.210000719875097e-05,0.9046268000383861,gpu,30.0,0.12,0.92,0.35,512.0,,40.32016027557847
n20_i3,20,20045,ml_gpu,2,50047,5,,5247.26123046875,0.8266111999982968,3.9700011257082224e-05,0.8265714999870397,gpu,30.0,0.12,0.92,0.35,512.0,,27.28982160292398
n20_i3,20,20045,ml_gpu,3,50048,5,,5351.1328125,0.799933800008148,6.420002318918705e-05,0.7998695999849588,gpu,30.0,0.12,0.92,0.35,512.0,,29.809573253479822
n20_i3,20,20045,ml_gpu,4,50049,5,,5963.0927734375,0.7977485999581404,5.520001286640763e-05,0.797693399945274,gpu,30.0,0.12,0.92,0.35,512.0,,44.65470309065167
n20_i4,20,20046,classic_cpu,0,20046,20,3979.5107421875,3478.11474609375,0.0008550999918952584,0.0,0.0008550999918952584,cpu,,,,,,12.599438186668577,1.8226964294972245
n20_i4,20,20046,classic_cpu,1,20047,20,3745.22802734375,3447.275421142578,0.0006747000152245164,0.0,0.0006747000152245164,cpu,,,,,,7.955526446609729,0.9198673247011654
n20_i4,20,20046,classic_cpu,2,20048,20,4095.904296875,3933.5794677734375,0.0004778000293299556,0.0,0.0004778000293299556,cpu,,,,,,3.9631011209272984,15.15654234186156
n20_i4,20,20046,classic_cpu,3,20049,20,4065.40576171875,3580.3554077148438,0.000596800004132092,0.0,0.000596800004132092,cpu,,,,,,11.931167082294863,4.815817879181269
n20_i4,20,20046,classic_cpu,4,20050,20,4418.4072265625,3470.4422302246094,0.0008669999660924077,0.0,0.0008669999660924077,cpu,,,,,,21.454903265568912,1.5980815702343416
n20_i4,20,20046,classic_cpu,5,20051,20,3767.59716796875,3478.11474609375,0.00046150002162903547,0.0,0.00046150002162903547,cpu,,,,,,7.683475938885223,1.8226964294972245
n20_i4,20,20046,classic_cpu,6,20052,20,4003.673095703125,3554.91943359375,0.0006193000008352101,0.0,0.0006193000008352101,cpu,,,,,,11.208549034410236,4.0711732482847625
n20_i4,20,20046,classic_cpu,7,20053,20,4454.8330078125,3529.577117919922,0.0005398999783210456,0.0,0.0005398999783210456,cpu,,,,,,20.769709847034548,3.3292704923234337
n20_i4,20,20046,classic_cpu,8,20054,20,4003.6728515625,3554.919189453125,0.0006102999905124307,0.0,0.0006102999905124307,cpu,,,,,,11.208549717898189,4.071166101005687
